"subj_idx","level","absLevel","levelMean","periodicity","nEvents","rt","response"
1,-2,2,-3.69,"Periodic",4,1.213,1
1,2,2,3.69,"Periodic",4,1.315,1
1,-2,2,-3.69,"Periodic",4,1.278,1
1,4,4,7.38,"Periodic",5,1.489,1
1,-1,1,-1.845,"Periodic",4,1.01,1
1,2,2,3.69,"Periodic",3,0.98,1
1,2,2,3.69,"Aperiodic",3,0.787,1
1,-2,2,-3.69,"Aperiodic",6,1.703,1
1,-2,2,-3.69,"Aperiodic",4,1.447,1
1,4,4,7.38,"Periodic",2,0.571,1
1,4,4,7.38,"Aperiodic",3,0.542,1
1,-4,4,-7.38,"Aperiodic",3,0.912,0
1,4,4,7.38,"Periodic",3,0.827,1
1,4,4,7.38,"Periodic",3,0.762,1
1,-4,4,-7.38,"Aperiodic",6,1.799,1
1,2,2,3.69,"Periodic",5,1.427,1
1,-1,1,-1.845,"Periodic",5,1.608,1
1,1,1,1.845,"Periodic",5,1.611,0
1,4,4,7.38,"Aperiodic",4,1.246,1
1,-4,4,-7.38,"Periodic",4,1.163,1
1,1,1,1.845,"Periodic",6,1.748,1
1,4,4,7.38,"Aperiodic",3,0.729,1
1,1,1,1.845,"Aperiodic",7,2.198,1
1,-4,4,-7.38,"Aperiodic",4,1.236,1
1,-1,1,-1.845,"Periodic",8,2.483,1
1,-4,4,-7.38,"Aperiodic",4,1.113,1
1,-2,2,-3.69,"Periodic",4,1.004,1
1,2,2,3.69,"Aperiodic",3,0.806,1
1,2,2,3.69,"Periodic",2,0.654,1
1,-1,1,-1.845,"Periodic",6,1.819,1
1,-4,4,-7.38,"Periodic",4,1.078,1
1,1,1,1.845,"Aperiodic",5,1.343,1
1,-1,1,-1.845,"Aperiodic",8,2.523,1
1,-2,2,-3.69,"Aperiodic",7,2.227,0
1,2,2,3.69,"Aperiodic",3,0.855,1
1,-2,2,-3.69,"Aperiodic",7,2.082,1
1,-4,4,-7.38,"Periodic",4,1.133,1
1,2,2,3.69,"Aperiodic",4,1.274,1
1,-1,1,-1.845,"Aperiodic",8,2.966,1
1,1,1,1.845,"Periodic",4,1.142,1
1,-2,2,-3.69,"Periodic",5,1.558,1
1,4,4,7.38,"Periodic",4,1.242,1
1,-1,1,-1.845,"Aperiodic",7,2.096,1
1,2,2,3.69,"Aperiodic",4,1.005,1
1,1,1,1.845,"Aperiodic",3,0.897,1
1,4,4,7.38,"Aperiodic",5,1.548,1
1,-4,4,-7.38,"Periodic",4,1.226,1
1,-2,2,-3.69,"Periodic",3,0.976,1
1,-2,2,-3.69,"Periodic",6,1.783,1
1,-2,2,-3.69,"Periodic",4,1.043,1
1,2,2,3.69,"Periodic",4,1.041,1
1,1,1,1.845,"Aperiodic",8,2.561,1
1,-1,1,-1.845,"Periodic",4,1.122,1
1,-4,4,-7.38,"Aperiodic",3,0.974,1
1,-2,2,-3.69,"Periodic",2,0.602,1
1,-2,2,-3.69,"Aperiodic",2,0.612,1
1,-4,4,-7.38,"Periodic",3,0.779,1
1,4,4,7.38,"Periodic",3,0.816,1
1,4,4,7.38,"Aperiodic",2,0.61,1
1,-1,1,-1.845,"Aperiodic",5,1.268,0
1,-4,4,-7.38,"Aperiodic",4,1.244,1
1,2,2,3.69,"Aperiodic",7,2.188,1
1,-2,2,-3.69,"Aperiodic",6,1.991,1
1,-1,1,-1.845,"Periodic",4,1.197,1
1,2,2,3.69,"Periodic",8,2.403,1
1,-4,4,-7.38,"Periodic",4,1.055,1
1,-4,4,-7.38,"Aperiodic",2,0.753,1
1,4,4,7.38,"Periodic",8,2.371,1
1,-1,1,-1.845,"Aperiodic",7,2.228,1
1,-2,2,-3.69,"Aperiodic",10,2.903,1
1,1,1,1.845,"Periodic",4,1.115,1
1,4,4,7.38,"Periodic",5,1.34,1
1,1,1,1.845,"Periodic",7,2.08,0
1,1,1,1.845,"Aperiodic",8,2.609,1
1,2,2,3.69,"Periodic",5,1.381,1
1,1,1,1.845,"Periodic",8,2.44,0
1,-2,2,-3.69,"Periodic",9,2.856,1
1,4,4,7.38,"Aperiodic",6,1.919,1
1,-4,4,-7.38,"Periodic",5,1.471,1
1,1,1,1.845,"Periodic",5,1.564,1
1,-1,1,-1.845,"Periodic",6,1.791,1
1,-1,1,-1.845,"Aperiodic",5,1.616,0
1,-4,4,-7.38,"Periodic",5,1.616,1
1,-4,4,-7.38,"Periodic",5,1.464,1
1,4,4,7.38,"Periodic",5,1.597,1
1,4,4,7.38,"Aperiodic",3,0.893,1
1,-1,1,-1.845,"Aperiodic",6,1.978,0
1,4,4,7.38,"Aperiodic",5,1.615,1
1,1,1,1.845,"Aperiodic",10,2.865,1
1,2,2,3.69,"Periodic",8,2.498,1
1,-1,1,-1.845,"Periodic",8,2.427,0
1,-1,1,-1.845,"Periodic",4,1.249,1
1,-2,2,-3.69,"Aperiodic",5,1.505,1
1,2,2,3.69,"Aperiodic",4,1.202,1
1,1,1,1.845,"Periodic",7,2.326,0
1,1,1,1.845,"Aperiodic",5,1.796,1
1,1,1,1.845,"Aperiodic",7,2.21,1
1,-4,4,-7.38,"Aperiodic",6,1.72,1
1,2,2,3.69,"Periodic",4,1.261,1
1,-4,4,-7.38,"Aperiodic",4,1.524,1
1,4,4,7.38,"Aperiodic",5,1.664,1
1,-2,2,-3.69,"Aperiodic",5,1.497,1
1,2,2,3.69,"Aperiodic",10,2.912,1
1,-1,1,-1.845,"Aperiodic",10,3.417,1
1,4,4,7.38,"Periodic",3,0.852,1
1,2,2,3.69,"Aperiodic",4,1.632,1
1,-2,2,-3.69,"Periodic",7,2.078,1
1,2,2,3.69,"Aperiodic",4,1.079,1
2,-1,1,-1.77,"Aperiodic",13,4.201,1
2,-2,2,-3.54,"Periodic",10,3.307,0
2,-1,1,-1.77,"Periodic",4,1.166,1
2,2,2,3.54,"Aperiodic",5,1.628,1
2,-1,1,-1.77,"Aperiodic",4,1.233,1
2,2,2,3.54,"Aperiodic",3,0.87,0
2,-4,4,-7.08,"Periodic",7,2.251,1
2,4,4,7.08,"Periodic",7,2.003,1
2,-4,4,-7.08,"Periodic",4,1.027,1
2,4,4,7.08,"Periodic",3,0.983,1
2,-2,2,-3.54,"Aperiodic",5,1.588,1
2,2,2,3.54,"Aperiodic",12,3.872,0
2,-2,2,-3.54,"Aperiodic",3,0.957,1
2,1,1,1.77,"Aperiodic",19,6.148,0
2,1,1,1.77,"Aperiodic",9,3.001,1
2,-1,1,-1.77,"Periodic",5,1.58,1
2,4,4,7.08,"Aperiodic",7,1.749,1
2,-2,2,-3.54,"Aperiodic",10,3.313,1
2,-1,1,-1.77,"Periodic",18,5.934,0
2,1,1,1.77,"Periodic",7,2.166,0
2,2,2,3.54,"Aperiodic",11,3.71,1
2,2,2,3.54,"Periodic",15,4.858,0
2,-2,2,-3.54,"Periodic",12,3.743,1
2,4,4,7.08,"Aperiodic",5,1.531,1
2,-4,4,-7.08,"Aperiodic",5,1.176,1
2,-2,2,-3.54,"Aperiodic",4,1.133,1
2,-2,2,-3.54,"Periodic",7,2.146,1
2,1,1,1.77,"Periodic",5,1.626,1
2,-4,4,-7.08,"Aperiodic",9,2.714,1
2,-4,4,-7.08,"Periodic",4,1.228,1
2,-4,4,-7.08,"Periodic",4,1.308,1
2,2,2,3.54,"Periodic",4,1.121,1
2,-4,4,-7.08,"Aperiodic",16,5.023,1
2,1,1,1.77,"Periodic",4,1.206,0
2,1,1,1.77,"Periodic",17,5.427,1
2,2,2,3.54,"Periodic",4,1.289,1
2,2,2,3.54,"Periodic",4,1.126,1
2,1,1,1.77,"Periodic",5,1.512,0
2,-2,2,-3.54,"Periodic",5,1.494,1
2,1,1,1.77,"Aperiodic",11,3.546,1
2,1,1,1.77,"Aperiodic",3,0.985,1
2,2,2,3.54,"Aperiodic",4,1.242,1
2,4,4,7.08,"Periodic",3,0.997,1
2,1,1,1.77,"Aperiodic",3,0.994,1
2,2,2,3.54,"Periodic",20,7.348,0
2,-1,1,-1.77,"Aperiodic",4,1.187,1
2,4,4,7.08,"Aperiodic",12,3.675,1
2,-1,1,-1.77,"Aperiodic",8,2.529,0
2,-2,2,-3.54,"Periodic",8,2.588,1
2,4,4,7.08,"Aperiodic",7,2.267,1
