"subj_idx","level","absLevel","levelMean","periodicity","nEvents","rt","response"
1,4,4,7.38,"Aperiodic",6,1.919,1
1,-4,4,-7.38,"Periodic",5,1.471,0
1,0,0,0,"Periodic",6,1.918,1
1,0,0,0,"Periodic",5,1.548,0
1,1,1,1.845,"Periodic",5,1.564,1
1,-1,1,-1.845,"Periodic",6,1.791,0
1,-1,1,-1.845,"Aperiodic",5,1.616,1
1,-4,4,-7.38,"Periodic",5,1.616,0
1,-4,4,-7.38,"Periodic",5,1.464,0
1,4,4,7.38,"Periodic",5,1.597,1
1,0,0,0,"Aperiodic",5,1.278,1
1,4,4,7.38,"Aperiodic",3,0.893,1
1,0,0,0,"Aperiodic",10,3.239,1
1,-1,1,-1.845,"Aperiodic",6,1.978,1
1,4,4,7.38,"Aperiodic",5,1.615,1
1,0,0,0,"Periodic",7,2.112,0
